data,hora,latitude,longitude,velocidade,altitude,satelites,xg,yg,zg,x,y,z
1692015,21154,-7.14089,-34.85075,0.11,55.30,9,-0.21,-0.04,0.92,29,-5,22
1692015,21154,-7.14089,-34.85075,0.11,55.30,9,-0.21,-0.04,0.92,32,-2,22
1692015,21155,-7.14089,-34.85075,0.11,55.30,9,-0.21,-0.04,0.91,30,-6,24
1692015,21155,-7.14089,-34.85075,0.11,55.30,9,-0.21,-0.04,0.92,32,-6,17
1692015,21155,-7.14089,-34.85075,0.11,55.30,9,-0.21,-0.04,0.92,30,-7,24
1692015,21155,-7.14089,-34.85075,0.11,55.30,9,-0.21,-0.03,0.91,28,-6,17
1692015,21155,-7.14089,-34.85075,0.11,55.30,9,-0.21,-0.04,0.92,29,-8,19
1692015,21155,-7.14089,-34.85075,0.11,55.30,9,-0.21,-0.04,0.91,29,-2,17
1692015,21155,-7.14089,-34.85075,0.11,55.20,9,-0.21,-0.04,0.92,32,-7,17
1692015,21155,-7.14089,-34.85075,0.11,55.20,9,-0.21,-0.04,0.92,22,-7,20
1692015,21156,-7.14089,-34.85075,0.11,55.20,9,-0.21,-0.04,0.93,33,-8,17
1692015,21156,-7.14089,-34.85075,0.11,55.20,9,-0.21,-0.04,0.92,30,-7,21
1692015,21156,-7.14089,-34.85075,0.11,55.20,9,-0.21,-0.04,0.92,30,-6,17
1692015,21156,-7.14089,-34.85075,0.11,55.20,9,-0.21,-0.04,0.91,32,-1,19
1692015,21156,-7.14089,-34.85075,0.31,55.20,9,-0.21,-0.04,0.92,30,-6,19
1692015,21156,-7.14089,-34.85075,0.31,55.20,9,-0.21,-0.04,0.92,30,-5,14
1692015,21156,-7.14089,-34.85075,0.31,55.20,9,-0.21,-0.04,0.92,30,-4,20
1692015,21156,-7.14089,-34.85075,0.31,55.20,9,-0.21,-0.04,0.92,24,-6,22
1692015,21157,-7.14089,-34.85075,0.31,55.20,9,-0.21,-0.04,0.92,27,-4,19
1692015,21157,-7.14089,-34.85075,0.31,55.20,9,-0.21,-0.04,0.92,26,-11,20
1692015,21157,-7.14089,-34.85075,0.31,55.20,9,-0.21,-0.04,0.92,28,-6,19
1692015,21157,-7.14089,-34.85075,0.31,55.20,9,-0.21,-0.04,0.93,32,-8,21
1692015,21157,-7.14089,-34.85075,0.44,55.20,9,-0.21,-0.04,0.92,27,-10,23
1692015,21157,-7.14089,-34.85075,0.44,55.20,9,-0.21,-0.04,0.92,25,-1,20
1692015,21157,-7.14089,-34.85075,0.44,55.40,8,-0.21,-0.04,0.92,24,-5,13
1692015,21157,-7.14089,-34.85075,0.44,55.40,8,-0.21,-0.04,0.92,29,1,19
1692015,21158,-7.14089,-34.85075,0.44,55.40,8,-0.21,-0.04,0.93,27,-3,12
1692015,21158,-7.14089,-34.85075,0.44,55.40,8,-0.21,-0.04,0.92,32,-5,17
1692015,21158,-7.14089,-34.85075,0.44,55.40,8,-0.21,-0.04,0.93,26,-3,18
1692015,21158,-7.14089,-34.85075,0.44,55.40,8,-0.21,-0.04,0.92,28,-4,17
1692015,21158,-7.14089,-34.85075,0.37,55.40,8,-0.21,-0.04,0.92,30,-5,15
1692015,21158,-7.14089,-34.85075,0.37,55.40,8,-0.21,-0.04,0.93,30,-2,22
1692015,21158,-7.14089,-34.85075,0.37,55.60,7,-0.22,-0.04,0.92,30,-3,18
1692015,21158,-7.14089,-34.85075,0.37,55.60,7,-0.21,-0.04,0.92,32,-5,20
1692015,21159,-7.14089,-34.85075,0.37,55.60,7,-0.21,-0.04,0.92,28,-4,21
1692015,21159,-7.14089,-34.85075,0.37,55.60,7,-0.21,-0.04,0.92,28,-4,19
1692015,21159,-7.14089,-34.85075,0.37,55.60,7,-0.21,-0.04,0.92,30,-6,18
1692015,21159,-7.14089,-34.85075,0.37,55.60,7,-0.21,-0.04,0.92,24,-5,19
1692015,21159,-7.14089,-34.85075,0.15,55.60,7,-0.21,-0.04,0.92,28,0,25
1692015,21159,-7.14089,-34.85075,0.15,55.60,7,-0.21,-0.04,0.92,32,-2,23
1692015,21159,-7.14089,-34.85075,0.15,55.80,7,-0.21,-0.04,0.92,30,-6,16
1692015,21159,-7.14089,-34.85075,0.15,55.80,7,-0.21,-0.04,0.92,34,-4,20
1692015,2120,-7.14089,-34.85075,0.15,55.80,7,-0.21,-0.04,0.92,33,-4,20
1692015,2120,-7.14089,-34.85075,0.15,55.80,7,-0.21,-0.04,0.92,28,-2,20
1692015,2120,-7.14089,-34.85075,0.15,55.80,7,-0.21,-0.04,0.92,33,0,24
1692015,2120,-7.14089,-34.85075,0.15,55.80,7,-0.21,-0.04,0.92,27,-4,22
1692015,2120,-7.14089,-34.85075,1.35,55.80,7,-0.21,-0.04,0.91,26,-9,20
1692015,2120,-7.14089,-34.85075,1.35,55.80,7,-0.21,-0.04,0.93,26,-3,23
1692015,2120,-7.14089,-34.85075,1.35,55.90,8,-0.21,-0.04,0.92,25,-7,18
1692015,2120,-7.14089,-34.85075,1.35,55.90,8,-0.21,-0.04,0.92,31,-7,21
1692015,2121,-7.14089,-34.85075,1.35,55.90,8,-0.21,-0.04,0.92,31,-6,21
1692015,2121,-7.14089,-34.85075,1.35,55.90,8,-0.21,-0.04,0.93,28,-5,16
1692015,2121,-7.14089,-34.85075,1.35,55.90,8,-0.21,-0.04,0.92,28,-7,19
1692015,2121,-7.14089,-34.85075,1.35,55.90,8,-0.21,-0.04,0.91,32,-4,25
1692015,2121,-7.14089,-34.85075,0.22,55.90,8,-0.21,-0.03,0.92,31,-6,17
1692015,2121,-7.14089,-34.85075,0.22,55.90,8,-0.21,-0.04,0.92,29,-4,17
1692015,2121,-7.14089,-34.85075,0.22,55.80,8,-0.21,-0.04,0.92,32,-7,25
